id,category,app,official_hint,what_it_does,auth_methods,self_serve_or_gated,api_surface,api_breadth,mcp,buildability,main_blocker,evidence_url,confidence,agent_source,verification_status,verification_notes
1,CRM and Sales,Salesforce,salesforce.com,"Salesforce is a cloud-based customer relationship management (CRM) platform that provides sales, service, and marketing automation tools.",OAuth2,Self-serve,REST,Broad,Yes,Yes,None,https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/hosted-mcp-servers-overview.html,High,https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_oauth_and_connected_apps.htm | https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/quickstart_oauth.htm | https://developer.salesforce.com/docs/atlas.en-us.chatterapi.meta/chatterapi/intro_using_oauth.htm | https://developer.salesforce.com/blogs/2023/03/using-the-client-credentials-flow-for-easier-api-authentication | https://developer.salesforce.com/docs/atlas.en-us.object_reference.meta/object_reference/sforce_api_objects_namedcredential.htm,Unverified,
2,CRM and Sales,HubSpot,hubspot.com,HubSpot is a CRM and sales platform that provides APIs for integration and automation.,OAuth2,Self-serve,Unknown,Unknown,Unknown,Yes,None,https://developers.hubspot.com/docs/apps/legacy-apps/authentication/intro-to-auth,Medium,https://developers.hubspot.com/docs/apps/legacy-apps/authentication/intro-to-auth | https://knowledge.hubspot.com/integrations/how-do-i-get-my-hubspot-api-key | https://community.hubspot.com/t5/APIs-Integrations/Solution-Simplifying-HubSpot-API-Authentication-for-Seamless/m-p/1221669 | https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication/overview | https://developers.hubspot.com/blog/hubspot-service-keys-the-right-api-credential-for-data-integrations,Unverified,
3,CRM and Sales,Pipedrive,pipedrive.com,Pipedrive is a CRM platform that offers a RESTful API for integrating with other software.,OAuth2,Self-serve,REST,Broad,Unknown,Yes,None,https://developers.pipedrive.com/docs/api/v1,High,https://developers.pipedrive.com/docs/api/v1/Oauth | https://developers.pipedrive.com/docs/api/v1 | https://www.pipedrive.com/en/features/crm-api,Unverified,
4,CRM and Sales,Attio,attio.com,CRM for developers with a simple REST API,"OAuth2, API key",Self-serve,REST,Moderate,Yes,Yes,None,https://docs.attio.com/rest-api/guides/authentication,High,https://docs.attio.com/rest-api/guides/authentication | https://docs.attio.com/rest-api/overview | https://attio.com/platform/developers | https://build.attio.com/api | https://docs.attio.com/mcp/overview,Unverified,
5,CRM and Sales,Twenty,twenty.com,Open-source CRM platform with extensible APIs and AI integration,OAuth2,Self-serve,REST,Broad,Yes,Yes,None,https://docs.twenty.com/developers/extend/api,High,https://www.bing.com/aclick?ld=e8eKKAfrn-phQhDvCjnruvTDVUCUwmJLX3jt3iHTbnzNQ9ERjUCOtB6-OAy-lHgvTrCVuRLTJr0PUgKwwwL0g7TwUVZQWHzNxrPbzctaQJGHn5GdSzAa2FWfxYQl26D3_EDcAJZ3XT6TgZsYjlmnue3S437wEqHrgaUXYDNlxaSza-62eYJ4nXDb4tWBBAu_UZ6rznvv5XMR3nqNVmAW5LH7pLH8g&u=aHR0cHMlM2ElMmYlMmZtb25pdG9yLmx1bmlvLmFpJTJmdjMuMCUyZnRlbXBsYXRlJTNmYWNjaWQlM2QxNjg5NiUyNnVybGRlY29kZSUzZDElMjZrdyUzZHNlY3VyZSUyNTIwYXBpJTI2bXQlM2RwJTI2bnclM2RvJTI2Y3BuJTNkNDI4MzI5MjQwJTI2ZGV2aSUzZGMlMjZkZXZtJTNkJTI2bG9jcCUzZDE1ODUyOCUyNmxvY2klM2QlMjZwbCUzZCUyNmNyJTNkJTI2YWRwJTNkJTI2c2FkdCUzZCUyNnVybCUzZGh0dHBzJTI1M0ElMjUyRiUyNTJGd3d3LmRhdGFkb2docS5jb20lMjUyRmRnJTI1MkZzZWN1cml0eSUyNTJGc2VjdXJlLWFwaS1hY2Nlc3MlMjUyRiUyNTNGdXRtX3NvdXJjZSUyNTNEYmluZyUyNTI2dXRtX21lZGl1bSUyNTNEcGFpZC1zZWFyY2glMjUyNnV0bV9jYW1wYWlnbiUyNTNEZGctc2VjdXJpdHktbmEtYXBpYWNjZXNzJTI1MjZ1dG1fa2V5d29yZCUyNTNEc2VjdXJlJTI1MjUyMGFwaSUyNTI2dXRtX21hdGNodHlwZSUyNTNEcCUyNTI2aWdhYWclMjUzRDEzMTA2MTgyMzA5OTA0OTQlMjUyNmlnYWF0JTI1M0QlMjUyNmlnYWNtJTI1M0Q0MjgzMjkyNDAlMjUyNmlnYWNyJTI1M0QlMjUyNmlnYWt3JTI1M0RzZWN1cmUlMjUyNTIwYXBpJTI1MjZpZ2FtdCUyNTNEcCUyNTI2aWdhbnQlMjUzRG8lMjUyNnV0bV9jYW1wYWlnbmlkJTI1M0Q0MjgzMjkyNDAlMjUyNnV0bV9hZGdyb3VwaWQlMjUzRDEzMTA2MTgyMzA5OTA0OTQlMjZtc2Nsa2lkJTNkY2RmOGM0OTYxOTJiMWNmYzZhZGZhZTI2YzYyYTk0Mzc&rlid=cdf8c496192b1cfc6adfae26c62a9437 | https://docs.twenty.com/developers/extend/api | https://docs.twenty.com/developers/extend/oauth | https://www.bing.com/aclick?ld=e8lCUOizgjgOlvv0Zl4-m2CzVUCUwjmQ4evNSV9NyIQxrrun7YkE41mTUtg8qGcjBGWrcNeFByed74X7heP01FAB3BJZhU5NwvefPTQrceNQrh7VomrKZJECPB9dqKSA-BXU2TY7zsVrJCLPro54s9h0mLfHT7YIrFbkEckfeKJH5J7v0IQCwVURYvB_hJ8QcrYTX0voR-v5G-23Qghhs9dTYNLmA&u=aHR0cHMlM2ElMmYlMmZ3d3cuZ3Jhdml0ZWUuaW8lMmZwbGF0Zm9ybSUyZmFwaS1kZXZlbG9wZXItcG9ydGFsJTNmaHN0a19jcmVhdGl2ZSUzZCUyNmhzdGtfY2FtcGFpZ24lM2Q1NzA4OTM5MTUlMjZoc3RrX25ldHdvcmslM2Rnb29nbGVBZHMlMjZ1dG1faWQlM2Q1NzA4OTM5MTUlMjZoc2FfYWNjJTNkNDAwNjI4NDc5NCUyNmhzYV9jYW0lM2Q1NzA4OTM5MTUlMjZoc2FfZ3JwJTNkMTE3OTc3ODA4NDY2NjI3OSUyNmhzYV9hZCUzZCUyNmhzYV9zcmMlM2RvJTI2aHNhX3RndCUzZGt3ZC03MzczNjYwNDM2MjkyNyUzYWxvYy05MCUyNmhzYV9rdyUzZGFwaSUyNTIwZGV2ZWxvcGVyJTI1MjBwb3J0YWwlMjZoc2FfbXQlM2RwJTI2aHNhX25ldCUzZGFkd29yZHMlMjZoc2FfdmVyJTNkMyUyNm1zY2xraWQlM2RlZDlhZmFlZmRkNTExYTRiNGEwYjkwNWYwMjUyZWE2YyUyNnV0bV9zb3VyY2UlM2RiaW5nJTI2dXRtX21lZGl1bSUzZGNwYyUyNnV0bV9jYW1wYWlnbiUzZFNNJTI1MjAlMjU3QyUyNTIwTVNBJTI1MjAlMjU3QyUyNTIwQVBBQyUyNTIwJTI1N0MlMjUyMEluZGlhJTI1MjAlMjUyNiUyNTIwVUFFJTI1MjAlMjU3QyUyNTIwQVBJTSUyNTIwLVAlMjZ1dG1fdGVybSUzZGFwaSUyNTIwZGV2ZWxvcGVyJTI1MjBwb3J0YWwlMjZ1dG1fY29udGVudCUzZERldmVsb3BtZW50JTI1MjBQb3J0YWw&rlid=ed9afaefdd511a4b4a0b905f0252ea6c | https://docs.twenty.com/developers/introduction,Unverified,
6,CRM and Sales,Podio,podio.com,"Podio is an online work platform that lets users manage, share, and collaborate on tasks and projects.",OAuth2,Self-serve,REST,Moderate,Unknown,Yes,None,https://developers.podio.com/,High,https://developers.podio.com/ | https://developers.podio.com/authentication | https://developers.podio.com/doc,Unverified,
7,CRM and Sales,Zoho CRM,zoho.com/crm,"CRM platform for managing leads, contacts, accounts, deals, modules, automation, and related customer data.",OAuth2,Self-serve,REST,Broad,Yes,Yes,Client registration plus user authorization; MCP authentication is OAuth and follows the user's CRM permissions.,https://www.zoho.com/crm/developer/docs/api/v8/,Low,https://www.zoho.com/crm/developer/docs/api/v8/,Verified,Manually/document verified against official source.
8,CRM and Sales,Close,close.com,A CRM and sales automation platform.,API key,Unknown,REST,Unknown,No,Yes,None,https://developer.close.com/api/overview,Medium,https://developer.close.com/api/overview | https://developer.close.com/api/overview/api-key-authentication | https://api.close.com/,Unverified,
9,CRM and Sales,Copper,copper.com,"CRM platform with APIs for leads, people, companies, opportunities, projects, tasks, and related records.","API key, OAuth2",Partner/Sales gated,REST,Broad,Unknown,Partial,OAuth app registration requires contacting Copper; individual API keys can be generated from Copper settings.,https://developer.copper.com/introduction/authentication.html,Low,https://developer.copper.com/introduction/authentication.html,Verified,Manually/document verified against official source.
10,CRM and Sales,DealCloud,api.docs.dealcloud.com,DealCloud provides a REST API for integrating and automating CRM and sales workflows.,Unknown,Unknown,REST,Unknown,Unknown,Partial,Authentication method not specified in the evidence,https://api.docs.dealcloud.com/docs,Medium,https://api.docs.dealcloud.com/docs | https://api.docs.dealcloud.com/sdk/python/authentication | https://api.docs.dealcloud.com/,Unverified,
