id,category,app,what_it_does,auth_methods,self_serve_or_gated,api_surface,api_breadth,mcp,buildability,main_blocker,evidence_url,confidence,verification_status,human_verified,correct_fields,total_fields,accuracy_before,corrections,verified_evidence_url,verification_notes
91,"AI, Research and Media-native",NotebookLM,Create and manage notebooks in Gemini Notebook Enterprise,Unknown,Unknown,REST,Moderate,Yes,Yes,Unknown,https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks,Medium,Unverified,,,10,,,,
92,"AI, Research and Media-native",Otter AI,Otter AI provides AI-powered transcription and meeting insights via a public API.,Unknown,Partner/Sales gated,REST,Moderate,Yes,Partial,Access requires contacting an Otter account manager to enable the API.,https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,Medium,Unverified,,,10,,,,
7,CRM and Sales,Zoho CRM,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
9,CRM and Sales,Copper,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.bing.com/aclick?ld=e8S30sBjkVzjT7kw5y32PqozVUCUz6YqhdTu2ADwMOwLUE1Wb-1netTEeH7E7ia4ncSmSe-1Em_O47D9YAcHCBvKeWHD9dTu_jqG3rO5MyzVaLUjtrGzDOhoiYPChb8TT0hURIkJDYSyZ7FOF0AFFElkOgg9HFcW_fGgVUaRYIj5YjYbuu9tImVqY6rri9xhKYSb0q3G1Fux3yRlvcPgEhJ0wND0k&u=aHR0cHMlM2ElMmYlMmZtb25pdG9yLmx1bmlvLmFpJTJmdjMuMCUyZnRlbXBsYXRlJTNmYWNjaWQlM2QxNjg5NiUyNnVybGRlY29kZSUzZDElMjZrdyUzZHNlY3VyZSUyNTIwYXBpJTI2bXQlM2RwJTI2bnclM2RvJTI2Y3BuJTNkNDI4MzI5MjQwJTI2ZGV2aSUzZGMlMjZkZXZtJTNkJTI2bG9jcCUzZDE1ODUyOCUyNmxvY2klM2QlMjZwbCUzZCUyNmNyJTNkJTI2YWRwJTNkJTI2c2FkdCUzZCUyNnVybCUzZGh0dHBzJTI1M0ElMjUyRiUyNTJGd3d3LmRhdGFkb2docS5jb20lMjUyRmRnJTI1MkZzZWN1cml0eSUyNTJGc2VjdXJlLWFwaS1hY2Nlc3MlMjUyRiUyNTNGdXRtX3NvdXJjZSUyNTNEYmluZyUyNTI2dXRtX21lZGl1bSUyNTNEcGFpZC1zZWFyY2glMjUyNnV0bV9jYW1wYWlnbiUyNTNEZGctc2VjdXJpdHktbmEtdW5hdXRob3JpemVkYWNjZXNzJTI1MjZ1dG1fa2V5d29yZCUyNTNEc2VjdXJlJTI1MjUyMGFwaSUyNTI2dXRtX21hdGNodHlwZSUyNTNEcCUyNTI2aWdhYWclMjUzRDEzMTA2MTgyMzA5OTA0OTQlMjUyNmlnYWF0JTI1M0QlMjUyNmlnYWNtJTI1M0Q0MjgzMjkyNDAlMjUyNmlnYWNyJTI1M0QlMjUyNmlnYWt3JTI1M0RzZWN1cmUlMjUyNTIwYXBpJTI1MjZpZ2FtdCUyNTNEcCUyNTI2aWdhbnQlMjUzRG8lMjUyNnV0bV9jYW1wYWlnbmlkJTI1M0Q0MjgzMjkyNDAlMjUyNnV0bV9hZGdyb3VwaWQlMjUzRDEzMTA2MTgyMzA5OTA0OTQlMjZtc2Nsa2lkJTNkN2VmNjM0MjBiOTA3MWFiOWM2Y2Y1ZTkwNjZlNTVkZDc&rlid=7ef63420b9071ab9c6cf5e9066e55dd7,Low,Unverified,,,10,,,,
28,Communications and Messaging,WhatsApp Business,The WhatsApp Business Platform enables businesses to communicate with customers at scale via APIs.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://developers.facebook.com/documentation/business-messaging/whatsapp/overview/,Low,Unverified,,,10,,,,
21,Communications and Messaging,Slack,"Slack is a communications and messaging platform that allows users to create workspaces, channels, and integrate third‑party applications.",OAuth2,Self-serve,REST,Broad,Yes,Yes,None,https://api.slack.com/apps,High,Unverified,,,10,,,,
53,"Data, SEO and Scraping",Ahrefs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
55,"Data, SEO and Scraping",Apify,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
63,"Developer, Infra and Data platforms",Netlify,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
69,"Developer, Infra and Data platforms",Datadog,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
41,Ecommerce,Shopify,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
43,Ecommerce,BigCommerce,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.bing.com/aclick?ld=e8kcI9iLJ_7jwnpigVOC1vfjVUCUw8Jk8X_-rn_pWWali4dYPx3qNLpcypAg6_ftLG-L0bU7DULyQekjFqdqvq2njX2z4Ow6ySigtv67SmsIGZ3Omt6Z2hQ5yDlYhtz3OwwPvCUjuNhfon3BqVnLRsLEUcL4UvNanVddlAKzeKByvdKeVislbvZpeS1wp5qb_JriPOj32-XWsH4Msg13CQfKmx4tc&u=aHR0cHMlM2ElMmYlMmZ3d3cuZ3Jhdml0ZWUuaW8lMmZwbGF0Zm9ybSUyZmFwaS1nYXRld2F5JTNmaHN0a19jcmVhdGl2ZSUzZCUyNmhzdGtfY2FtcGFpZ24lM2Q1NzA4OTM5MTUlMjZoc3RrX25ldHdvcmslM2Rnb29nbGVBZHMlMjZ1dG1faWQlM2Q1NzA4OTM5MTUlMjZoc2FfYWNjJTNkNDAwNjI4NDc5NCUyNmhzYV9jYW0lM2Q1NzA4OTM5MTUlMjZoc2FfZ3JwJTNkMTE4MDg3NzU5NjIyMzAxNiUyNmhzYV9hZCUzZCUyNmhzYV9zcmMlM2RvJTI2aHNhX3RndCUzZGt3ZC03MzgwNTMyMzI5OTgwOSUzYWxvYy05MCUyNmhzYV9rdyUzZGFwaSUyNTIwZ2F0ZXdheSUyNmhzYV9tdCUzZHAlMjZoc2FfbmV0JTNkYWR3b3JkcyUyNmhzYV92ZXIlM2QzJTI2bXNjbGtpZCUzZDU5YmU4OWJmYTYyODEwNWVlNDNmZTMwZjQwN2U4ZTkzJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkY3BjJTI2dXRtX2NhbXBhaWduJTNkU00lMjUyMCUyNTdDJTI1MjBNU0ElMjUyMCUyNTdDJTI1MjBBUEFDJTI1MjAlMjU3QyUyNTIwSW5kaWElMjUyMCUyNTI2JTI1MjBVQUUlMjUyMCUyNTdDJTI1MjBBUElNJTI1MjAtUCUyNnV0bV90ZXJtJTNkYXBpJTI1MjBnYXRld2F5JTI2dXRtX2NvbnRlbnQlM2RHYXRld2F5&rlid=59be89bfa628105ee43fe30f407e8e93,Low,Unverified,,,10,,,,
84,Finance and Fintech,Paygent Connect,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
81,Finance and Fintech,Stripe,"Stripe is a payment processing platform that provides a RESTful API for handling online payments, subscriptions, and related financial services.",API key,Self-serve,REST,Broad,Unknown,Yes,None,https://docs.stripe.com/api/authentication,High,Unverified,,,10,,,,
31,"Marketing, Ads, Email and Social",Google Ads,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
33,"Marketing, Ads, Email and Social",LinkedIn Ads,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
73,Productivity and Project Management,Linear,Linear is a productivity and project management application.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://developers.linear.app/docs/password.jsn,Low,Unverified,,,10,,,,
78,Productivity and Project Management,Coda,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
11,Support and Helpdesk,Zendesk,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
17,Support and Helpdesk,Plain,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Low,Unverified,,,10,,,,
