id,category,app,verified_what_it_does,verified_auth_methods,verified_self_serve_or_gated,verified_api_surface,verified_api_breadth,verified_mcp,verified_buildability,verified_main_blocker,verified_evidence_url
91,"AI, Research and Media-native",NotebookLM,AI notebook product for generating insights and summaries from documents; Gemini Notebook Enterprise exposes notebook-management APIs.,OAuth2/token,Paid-plan required,REST,Moderate,Unknown,Partial,"Enterprise license plus Google Cloud project, billing, IAM setup, and Cloud NotebookLM User role for sharing.",https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks
92,"AI, Research and Media-native",Otter AI,"AI meeting product with a public API for retrieving channels, conversations, transcripts, audio, action items, insights, outlines, and workspace details.",API key/token,Partner/Sales gated,REST,Moderate,Yes,Partial,Public API is available for Enterprise workspaces; contact an Otter account manager if it is not enabled.,https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API
7,CRM and Sales,Zoho CRM,"CRM platform for managing leads, contacts, accounts, deals, modules, automation, and related customer data.",OAuth2,Self-serve,REST,Broad,Yes,Yes,Client registration plus user authorization; MCP authentication is OAuth and follows the user's CRM permissions.,https://www.zoho.com/crm/developer/docs/api/v8/
9,CRM and Sales,Copper,"CRM platform with APIs for leads, people, companies, opportunities, projects, tasks, and related records.","API key, OAuth2",Partner/Sales gated,REST,Broad,Unknown,Partial,OAuth app registration requires contacting Copper; individual API keys can be generated from Copper settings.,https://developer.copper.com/introduction/authentication.html
28,Communications and Messaging,WhatsApp Business,Business messaging platform for programmatic customer messaging through the WhatsApp Business Platform and Cloud API.,token,Self-serve,"REST, Webhooks",Broad,Unknown,Partial,"Requires Meta business portfolio/WABA, phone-number setup, permissions, and access-token configuration.",https://developers.facebook.com/docs/whatsapp/cloud-api/overview
21,Communications and Messaging,Slack,"Team messaging and collaboration platform with APIs for channels, messages, users, apps, events, and workspace data.",OAuth2,Self-serve,"REST, Webhooks",Broad,Yes,Yes,None,https://api.slack.com/authentication/oauth-v2
53,"Data, SEO and Scraping",Ahrefs,"SEO and marketing intelligence platform exposing search, backlink, ranking, and visibility data through APIs.",API key,Paid-plan required,REST,Broad,Yes,Partial,Eligible paid plans/API units and workspace owner/admin access are required for API-key management; MCP is also plan-gated.,https://docs.ahrefs.com/en/api/docs/introduction
55,"Data, SEO and Scraping",Apify,"Platform for web scraping, browser automation, and data-processing Actors.",token,Self-serve,"REST, SDK",Broad,Yes,Yes,None,https://docs.apify.com/api/v2
63,"Developer, Infra and Data platforms",Netlify,"Web development and deployment platform for sites, projects, deploys, DNS, and related infrastructure.","OAuth2, token",Self-serve,"REST, SDK, CLI, Webhooks",Broad,Unknown,Yes,None,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/
69,"Developer, Infra and Data platforms",Datadog,"Monitoring and observability platform with APIs for telemetry, resources, and account operations.","API key, application key",Self-serve,REST,Broad,Unknown,Yes,API key plus application key and appropriate permissions are required.,https://docs.datadoghq.com/api/latest/authentication/
41,Ecommerce,Shopify,"Commerce platform whose APIs let apps manage store/admin data, storefront experiences, and commerce workflows.","OAuth2, token",Self-serve,"GraphQL, REST, Webhooks",Broad,Unknown,Yes,Merchant authorization and access scopes; some public-app review/onboarding requirements apply.,https://shopify.dev/docs/api/usage/authentication
43,Ecommerce,BigCommerce,"Ecommerce platform with APIs for store, catalog, orders, customers, storefront, and related commerce resources.","OAuth2, token",Self-serve,"REST, GraphQL, Webhooks",Broad,Unknown,Yes,Store/admin authorization and OAuth scopes.,https://docs.bigcommerce.com/developer/docs/overview/api-fundamentals/api-accounts
84,Finance and Fintech,Paygent Connect,Payment connectivity product; authoritative current API/authentication details were not established from a strong first-party source in this verification pass.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unresolved: no sufficiently strong first-party evidence established in this pass.,Unknown
81,Finance and Fintech,Stripe,"Payments and financial-services platform with a broad REST API for payments, billing, customers, payouts, and more.",API key,Self-serve,"REST, SDK, Webhooks",Broad,Unknown,Yes,Account-specific API keys and permission controls.,https://docs.stripe.com/api/authentication
31,"Marketing, Ads, Email and Social",Google Ads,"Advertising platform with APIs for campaigns, accounts, targeting, reporting, conversions, and management.","OAuth2, token",Self-serve,"REST, SDK",Broad,Unknown,Partial,A developer token is required in addition to OAuth2; production access is controlled by developer-token access level.,https://developers.google.com/google-ads/api/rest/auth
33,"Marketing, Ads, Email and Social",LinkedIn Ads,"Advertising and marketing APIs for campaigns, creatives, targeting, analytics, and lead-related workflows.",OAuth2,Partner/Sales gated,REST,Broad,Unknown,Partial,Most Marketing API products/permissions require explicit access approval.,https://learn.microsoft.com/en-us/linkedin/marketing/integrations/marketing-integrations-overview
73,Productivity and Project Management,Linear,Project-management and issue-tracking platform with a public GraphQL API and typed SDK.,"OAuth2, API key",Self-serve,"GraphQL, SDK",Broad,Unknown,Yes,None,https://linear.app/developers/graphql
78,Productivity and Project Management,Coda,"Collaborative docs platform with REST APIs for docs, pages, tables, rows, sharing, and automation.","OAuth2, API token",Self-serve,"REST, SDK",Broad,Yes,Yes,MCP is beta and access is scoped to the user's Coda account/workspace.,https://coda.io/developers/apis/v1
11,Support and Helpdesk,Zendesk,"Customer-support platform with APIs for ticketing, help center, messaging, voice, and other support operations.","OAuth2, token",Admin approval,REST,Broad,Unknown,Partial,Customer/admin authorization is required; distributed apps must use global OAuth.,https://developer.zendesk.com/api-reference/introduction/security-and-auth/
17,Support and Helpdesk,Plain,Customer-support platform with a GraphQL API and typed SDK for support operations.,API key,Self-serve,"GraphQL, SDK",Broad,Yes,Yes,API keys are created for machine users with fine-grained permissions; MCP uses the user's existing Plain account.,https://www.plain.com/docs/graphql/authentication
