id,category,app,correct_fields,total_fields,accuracy_before,corrections,verified_evidence_url,verification_status
91,"AI, Research and Media-native",NotebookLM,3,9,33.3%,"what_it_does: Create and manage notebooks in Gemini Notebook Enterprise -> AI notebook product for generating insights and summaries from documents; Gemini Notebook Enterprise exposes notebook-management APIs. | auth_methods: Unknown -> OAuth2/token | self_serve_or_gated: Unknown -> Paid-plan required | mcp: Yes -> Unknown | buildability: Yes -> Partial | main_blocker: Unknown -> Enterprise license plus Google Cloud project, billing, IAM setup, and Cloud NotebookLM User role for sharing.",https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks,Verified
92,"AI, Research and Media-native",Otter AI,6,9,66.7%,"what_it_does: Otter AI provides AI-powered transcription and meeting insights via a public API. -> AI meeting product with a public API for retrieving channels, conversations, transcripts, audio, action items, insights, outlines, and workspace details. | auth_methods: Unknown -> API key/token | main_blocker: Access requires contacting an Otter account manager to enable the API. -> Public API is available for Enterprise workspaces; contact an Otter account manager if it is not enabled.",https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API,Verified
7,CRM and Sales,Zoho CRM,0,9,0.0%,"what_it_does: Unknown -> CRM platform for managing leads, contacts, accounts, deals, modules, automation, and related customer data. | auth_methods: Unknown -> OAuth2 | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> REST | api_breadth: Unknown -> Broad | mcp: Unknown -> Yes | buildability: Unknown -> Yes | main_blocker: Unknown -> Client registration plus user authorization; MCP authentication is OAuth and follows the user's CRM permissions. | evidence_url: Unknown -> https://www.zoho.com/crm/developer/docs/api/v8/",https://www.zoho.com/crm/developer/docs/api/v8/,Verified
9,CRM and Sales,Copper,1,9,11.1%,"what_it_does: Unknown -> CRM platform with APIs for leads, people, companies, opportunities, projects, tasks, and related records. | auth_methods: Unknown -> API key, OAuth2 | self_serve_or_gated: Unknown -> Partner/Sales gated | api_surface: Unknown -> REST | api_breadth: Unknown -> Broad | buildability: Unknown -> Partial | main_blocker: Unknown -> OAuth app registration requires contacting Copper; individual API keys can be generated from Copper settings. | evidence_url: https://www.bing.com/aclick?ld=e8S30sBjkVzjT7kw5y32PqozVUCUz6YqhdTu2ADwMOwLUE1Wb-1netTEeH7E7ia4ncSmSe-1Em_O47D9YAcHCBvKeWHD9dTu_jqG3rO5MyzVaLUjtrGzDOhoiYPChb8TT0hURIkJDYSyZ7FOF0AFFElkOgg9HFcW_fGgVUaRYIj5YjYbuu9tImVqY6rri9xhKYSb0q3G1Fux3yRlvcPgEhJ0wND0k&u=aHR0cHMlM2ElMmYlMmZtb25pdG9yLmx1bmlvLmFpJTJmdjMuMCUyZnRlbXBsYXRlJTNmYWNjaWQlM2QxNjg5NiUyNnVybGRlY29kZSUzZDElMjZrdyUzZHNlY3VyZSUyNTIwYXBpJTI2bXQlM2RwJTI2bnclM2RvJTI2Y3BuJTNkNDI4MzI5MjQwJTI2ZGV2aSUzZGMlMjZkZXZtJTNkJTI2bG9jcCUzZDE1ODUyOCUyNmxvY2klM2QlMjZwbCUzZCUyNmNyJTNkJTI2YWRwJTNkJTI2c2FkdCUzZCUyNnVybCUzZGh0dHBzJTI1M0ElMjUyRiUyNTJGd3d3LmRhdGFkb2docS5jb20lMjUyRmRnJTI1MkZzZWN1cml0eSUyNTJGc2VjdXJlLWFwaS1hY2Nlc3MlMjUyRiUyNTNGdXRtX3NvdXJjZSUyNTNEYmluZyUyNTI2dXRtX21lZGl1bSUyNTNEcGFpZC1zZWFyY2glMjUyNnV0bV9jYW1wYWlnbiUyNTNEZGctc2VjdXJpdHktbmEtdW5hdXRob3JpemVkYWNjZXNzJTI1MjZ1dG1fa2V5d29yZCUyNTNEc2VjdXJlJTI1MjUyMGFwaSUyNTI2dXRtX21hdGNodHlwZSUyNTNEcCUyNTI2aWdhYWclMjUzRDEzMTA2MTgyMzA5OTA0OTQlMjUyNmlnYWF0JTI1M0QlMjUyNmlnYWNtJTI1M0Q0MjgzMjkyNDAlMjUyNmlnYWNyJTI1M0QlMjUyNmlnYWt3JTI1M0RzZWN1cmUlMjUyNTIwYXBpJTI1MjZpZ2FtdCUyNTNEcCUyNTI2aWdhbnQlMjUzRG8lMjUyNnV0bV9jYW1wYWlnbmlkJTI1M0Q0MjgzMjkyNDAlMjUyNnV0bV9hZGdyb3VwaWQlMjUzRDEzMTA2MTgyMzA5OTA0OTQlMjZtc2Nsa2lkJTNkN2VmNjM0MjBiOTA3MWFiOWM2Y2Y1ZTkwNjZlNTVkZDc&rlid=7ef63420b9071ab9c6cf5e9066e55dd7 -> https://developer.copper.com/introduction/authentication.html",https://developer.copper.com/introduction/authentication.html,Verified
28,Communications and Messaging,WhatsApp Business,1,9,11.1%,"what_it_does: The WhatsApp Business Platform enables businesses to communicate with customers at scale via APIs. -> Business messaging platform for programmatic customer messaging through the WhatsApp Business Platform and Cloud API. | auth_methods: Unknown -> token | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> REST, Webhooks | api_breadth: Unknown -> Broad | buildability: Unknown -> Partial | main_blocker: Unknown -> Requires Meta business portfolio/WABA, phone-number setup, permissions, and access-token configuration. | evidence_url: https://developers.facebook.com/documentation/business-messaging/whatsapp/overview/ -> https://developers.facebook.com/docs/whatsapp/cloud-api/overview",https://developers.facebook.com/docs/whatsapp/cloud-api/overview,Verified
21,Communications and Messaging,Slack,6,9,66.7%,"what_it_does: Slack is a communications and messaging platform that allows users to create workspaces, channels, and integrate third‑party applications. -> Team messaging and collaboration platform with APIs for channels, messages, users, apps, events, and workspace data. | api_surface: REST -> REST, Webhooks | evidence_url: https://api.slack.com/apps -> https://api.slack.com/authentication/oauth-v2",https://api.slack.com/authentication/oauth-v2,Verified
53,"Data, SEO and Scraping",Ahrefs,0,9,0.0%,"what_it_does: Unknown -> SEO and marketing intelligence platform exposing search, backlink, ranking, and visibility data through APIs. | auth_methods: Unknown -> API key | self_serve_or_gated: Unknown -> Paid-plan required | api_surface: Unknown -> REST | api_breadth: Unknown -> Broad | mcp: Unknown -> Yes | buildability: Unknown -> Partial | main_blocker: Unknown -> Eligible paid plans/API units and workspace owner/admin access are required for API-key management; MCP is also plan-gated. | evidence_url: Unknown -> https://docs.ahrefs.com/en/api/docs/introduction",https://docs.ahrefs.com/en/api/docs/introduction,Verified
55,"Data, SEO and Scraping",Apify,0,9,0.0%,"what_it_does: Unknown -> Platform for web scraping, browser automation, and data-processing Actors. | auth_methods: Unknown -> token | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> REST, SDK | api_breadth: Unknown -> Broad | mcp: Unknown -> Yes | buildability: Unknown -> Yes | main_blocker: Unknown -> None | evidence_url: Unknown -> https://docs.apify.com/api/v2",https://docs.apify.com/api/v2,Verified
63,"Developer, Infra and Data platforms",Netlify,1,9,11.1%,"what_it_does: Unknown -> Web development and deployment platform for sites, projects, deploys, DNS, and related infrastructure. | auth_methods: Unknown -> OAuth2, token | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> REST, SDK, CLI, Webhooks | api_breadth: Unknown -> Broad | buildability: Unknown -> Yes | main_blocker: Unknown -> None | evidence_url: Unknown -> https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/",https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/,Verified
69,"Developer, Infra and Data platforms",Datadog,1,9,11.1%,"what_it_does: Unknown -> Monitoring and observability platform with APIs for telemetry, resources, and account operations. | auth_methods: Unknown -> API key, application key | self_serve_or_gated: Unknown -> Self-serve | api_surface: Unknown -> REST | api_breadth: Unknown -> Broad | buildability: Unknown -> Yes | main_blocker: Unknown -> API key plus application key and appropriate permissions are required. | evidence_url: Unknown -> https://docs.datadoghq.com/api/latest/authentication/",https://docs.datadoghq.com/api/latest/authentication/,Verified
